3840 words found.
E (1, 2): 	sou
NE (27, 17): 	cat
NE (27, 28): 	cub
NE (27, 52): 	mig
NE (28, 24): 	wit
NE (28, 66): 	cam
NE (3, 14): 	pat
NE (3, 43): 	jay
NE (3, 51): 	tie
NE (30, 28): 	set
NE (30, 32): 	tot
NE (30, 38): 	sum
NE (30, 57): 	kid
NE (30, 63): 	elk
NE (30, 66): 	mew
NE (31, 15): 	coo
NE (31, 64): 	ret
NE (32, 49): 	lie
NE (32, 63): 	ere
NE (32, 64): 	bam
NE (33, 19): 	oak
NE (33, 25): 	awl
NE (33, 32): 	coo
NE (34, 0): 	gin
NE (34, 12): 	lac
NE (34, 24): 	jaw
NE (34, 42): 	hew
NE (34, 56): 	ore
NE (34, 64): 	cafe
NE (35, 13): 	pry
NE (35, 22): 	aloe
NE (35, 37): 	hot
NE (35, 40): 	sea
NE (35, 46): 	ceil
NE (35, 51): 	hoe
NE (35, 55): 	for
NE (35, 55): 	fore
NE (35, 56): 	bob
NE (36, 0): 	hue
NE (36, 21): 	pal
NE (37, 18): 	yen
NE (37, 24): 	and
NE (37, 59): 	oar
NE (38, 42): 	sat
NE (38, 45): 	ebb
NE (38, 7): 	ted
NE (39, 10): 	lug
NE (39, 12): 	his
NE (39, 2): 	bel
NE (39, 26): 	raw
NE (39, 48): 	rep
NE (4, 11): 	ohm
NE (4, 45): 	nab
NE (4, 46): 	ala
NE (4, 65): 	nip
NE (40, 3): 	min
NE (40, 36): 	foe
NE (40, 44): 	ova
NE (40, 46): 	bey
NE (40, 5): 	apt
NE (41, 28): 	oat
NE (41, 48): 	see
NE (42, 10): 	him
NE (42, 27): 	goat
NE (42, 54): 	vis
NE (42, 59): 	end
NE (43, 15): 	pie
NE (43, 25): 	jot
NE (43, 26): 	ego
NE (43, 62): 	oil
NE (44, 22): 	rid
NE (44, 49): 	mid
NE (45, 19): 	dey
NE (45, 3): 	film
NE (45, 4): 	gun
NE (45, 57): 	ugh
NE (46, 39): 	poi
NE (46, 42): 	ago
NE (46, 56): 	dug
NE (48, 13): 	mirth
NE (48, 21): 	amy
NE (48, 44): 	lip
NE (49, 20): 	tam
NE (49, 24): 	rag
NE (49, 31): 	rug
NE (49, 39): 	two
NE (5, 24): 	gig
NE (5, 3): 	map
NE (5, 32): 	hot
NE (5, 36): 	iii
NE (5, 51): 	yak
NE (50, 29): 	lye
NE (50, 53): 	err
NE (51, 15): 	foot
NE (52, 35): 	bob
NE (52, 43): 	rod
NE (52, 46): 	dab
NE (52, 49): 	rug
NE (52, 52): 	fad
NE (52, 58): 	pee
NE (52, 61): 	bub
NE (52, 62): 	step
NE (52, 65): 	ugh
NE (53, 11): 	tug
NE (53, 12): 	our
NE (53, 38): 	tie
NE (53, 62): 	nit
NE (54, 46): 	roe
NE (54, 56): 	top
NE (54, 64): 	tau
NE (54, 65): 	out
NE (55, 2): 	toe
NE (55, 22): 	vitro
NE (55, 25): 	wig
NE (55, 34): 	arm
NE (55, 37): 	quo
NE (56, 10): 	yaw
NE (56, 33): 	gar
NE (56, 42): 	phi
NE (56, 55): 	ark
NE (56, 57): 	aye
NE (57, 12): 	say
NE (57, 4): 	hen
NE (57, 54): 	far
NE (57, 56): 	bay
NE (57, 59): 	oak
NE (58, 46): 	loy
NE (58, 5): 	amy
NE (58, 63): 	ode
NE (58, 64): 	eke
NE (59, 14): 	elm
NE (59, 16): 	coo
NE (59, 28): 	hex
NE (59, 4): 	yam
NE (59, 43): 	cue
NE (6, 17): 	tot
NE (6, 17): 	tote
NE (6, 18): 	hoe
NE (6, 33): 	buy
NE (60, 44): 	ail
NE (60, 6): 	tot
NE (61, 26): 	bah
NE (61, 65): 	once
NE (61, 66): 	tin
NE (62, 12): 	ran
NE (62, 19): 	soy
NE (62, 35): 	tar
NE (62, 35): 	tara
NE (62, 63): 	arm
NE (62, 64): 	son
NE (63, 62): 	war
NE (63, 62): 	warm
NE (64, 0): 	yoke
NE (64, 33): 	hat
NE (64, 45): 	port
NE (64, 5): 	bee
NE (64, 64): 	pee
NE (66, 3): 	nob
NE (66, 33): 	for
NE (67, 22): 	rot
NE (67, 60): 	ion
NE (67, 61): 	jeep
NE (68, 23): 	die
NE (68, 23): 	died
NE (68, 39): 	swat
NE (68, 51): 	pan
NE (69, 0): 	pet
NE (69, 1): 	sen
NE (69, 28): 	tum
NE (69, 36): 	aim
NE (69, 58): 	onion
NE (69, 6): 	our
NE (7, 29): 	rue
NE (7, 61): 	gag
NE (70, 28): 	raj
NE (70, 63): 	ski
NE (70, 63): 	skim
NE (70, 66): 	sou
NE (71, 26): 	tat
NE (71, 60): 	zoo
NE (72, 25): 	eta
NE (72, 57): 	easy
NE (73, 15): 	pee
NE (73, 18): 	hoe
NE (73, 29): 	ice
NE (74, 14): 	ape
NE (74, 51): 	own
NE (75, 1): 	biz
NE (75, 50): 	low
NE (75, 67): 	own
NE (76, 58): 	awe
NE (77, 28): 	ewe
NE (77, 29): 	low
NE (77, 43): 	dip
NE (77, 62): 	sec
NE (78, 27): 	hew
NE (78, 45): 	reb
NE (78, 9): 	zip
NE (79, 14): 	mew
NE (79, 19): 	elm
NE (79, 33): 	sue
NE (79, 38): 	sad
NE (79, 39): 	owe
NE (8, 12): 	woo
NE (8, 19): 	pie
NE (8, 2): 	axe
NE (8, 37): 	bob
NE (8, 44): 	nip
NE (8, 59): 	map
NE (8, 61): 	mow
NE (80, 16): 	wah
NE (80, 3): 	hot
NE (80, 38): 	how
NE (80, 6): 	toe
NE (81, 23): 	add
NE (82, 20): 	keg
NE (83, 0): 	hue
NE (83, 23): 	she
NE (84, 42): 	net
NE (84, 44): 	qua
NE (84, 60): 	sac
NE (85, 43): 	aqua
NE (85, 64): 	dub
NE (86, 2): 	tee
NE (86, 47): 	foe
NE (86, 5): 	her
NE (86, 50): 	ass
NE (86, 50): 	assert
NE (86, 62): 	nil
NE (87, 32): 	sap
NE (87, 43): 	abc
NE (87, 65): 	fry
NE (88, 46): 	pro
NE (88, 57): 	ape
NE (89, 20): 	rep
NE (89, 38): 	owe
NE (89, 46): 	fob
NE (89, 50): 	hue
NE (89, 53): 	yea
NE (89, 56): 	hap
NE (89, 59): 	lob
NE (9, 42): 	yam
NE (9, 55): 	yow
NE (9, 57): 	hoot
NE (9, 64): 	auk
NE (90, 22): 	roe
NE (90, 29): 	wet
NE (90, 52): 	bye
NE (90, 9): 	pod
NE (91, 17): 	are
NE (91, 23): 	kid
NE (91, 27): 	hip
NE (91, 57): 	halo
NE (92, 16): 	bar
NE (92, 16): 	bare
NE (92, 21): 	iii
NE (92, 55): 	hew
NE (93, 18): 	phi
NE (93, 43): 	sob
NE (93, 63): 	fun
NE (94, 24): 	ore
NE (95, 19): 	nap
NE (95, 21): 	fog
NE (95, 30): 	hob
NE (95, 31): 	lag
NE (95, 53): 	eke
NE (95, 55): 	hum
NE (96, 49): 	may
NE (96, 56): 	yang
NE (96, 61): 	ask
NE (97, 17): 	win
NE (97, 27): 	bam
NE (97, 45): 	aim
NE (98, 61): 	gun
NE (99, 41): 	naked
NE (99, 46): 	sob
NE (99, 65): 	jar
NW (10, 17): 	you
NW (10, 21): 	cop
NW (100, 16): 	rot
NW (100, 7): 	yak
NW (101, 43): 	won
NW (101, 55): 	lam
NW (101, 6): 	musk
NW (101, 9): 	dog
NW (102, 35): 	ani
NW (102, 59): 	yea
NW (102, 65): 	tow
NW (103, 32): 	bon
NW (103, 41): 	sod
NW (103, 58): 	fee
NW (103, 6): 	jog
NW (104, 25): 	top
NW (105, 11): 	vow
NW (106, 5): 	yak
NW (106, 56): 	sun
NW (107, 22): 	few
NW (107, 47): 	our
NW (107, 62): 	nab
NW (107, 64): 	col
NW (107, 8): 	ooze
NW (108, 22): 	the
NW (108, 28): 	phi
NW (108, 58): 	bus
NW (108, 60): 	but
NW (108, 7): 	way
NW (109, 11): 	pay
NW (109, 50): 	mum
NW (109, 54): 	wee
NW (109, 55): 	elm
NW (109, 56): 	era
NW (11, 28): 	boo
NW (11, 57): 	hey
NW (11, 67): 	veal
NW (110, 2): 	owl
NW (110, 20): 	sax
NW (110, 60): 	sob
NW (111, 20): 	wet
NW (111, 3): 	yow
NW (111, 45): 	her
NW (111, 48): 	mew
NW (111, 54): 	min
NW (111, 54): 	mine
NW (111, 55): 	tao
NW (111, 7): 	eat
NW (112, 2): 	iii
NW (112, 21): 	owe
NW (112, 40): 	sob
NW (112, 41): 	arm
NW (112, 8): 	beat
NW (113, 13): 	bed
NW (113, 22): 	vow
NW (113, 42): 	jar
NW (113, 60): 	cap
NW (113, 63): 	raj
NW (113, 64): 	cue
NW (114, 27): 	yow
NW (114, 6): 	sis
NW (115, 39): 	lea
NW (115, 45): 	fee
NW (116, 29): 	loy
NW (116, 44): 	zig
NW (116, 64): 	log
NW (117, 20): 	vet
NW (117, 38): 	tun
NW (118, 11): 	hex
NW (119, 26): 	awl
NW (119, 47): 	hug
NW (119, 51): 	gee
NW (119, 61): 	nut
NW (12, 19): 	amy
NW (12, 3): 	egg
NW (12, 39): 	gaze
NW (12, 45): 	cos
NW (12, 45): 	cosy
NW (120, 23): 	mow
NW (120, 30): 	use
NW (120, 32): 	hum
NW (120, 37): 	ore
NW (120, 63): 	led
NW (120, 66): 	abc
NW (121, 20): 	irk
NW (121, 21): 	aim
NW (121, 26): 	oat
NW (121, 38): 	pore
NW (121, 42): 	foe
NW (121, 48): 	zig
NW (121, 53): 	jug
NW (121, 63): 	ken
NW (121, 67): 	gab
NW (122, 24): 	eke
NW (122, 41): 	rid
NW (122, 58): 	ted
NW (123, 12): 	pew
NW (123, 2): 	son
NW (123, 33): 	fog
NW (124, 10): 	rig
NW (124, 13): 	ape
NW (124, 28): 	sod
NW (124, 58): 	von
NW (124, 69): 	ten
NW (125, 28): 	pep
NW (126, 13): 	seq
NW (126, 39): 	ass
NW (127, 19): 	end
NW (127, 37): 	gum
NW (127, 40): 	was
NW (127, 52): 	rue
NW (127, 66): 	axe
NW (128, 21): 	bop
NW (128, 29): 	tin
NW (128, 59): 	eel
NW (128, 65): 	owe
NW (129, 68): 	via
NW (13, 20): 	cam
NW (13, 28): 	sou
NW (13, 44): 	much
NW (13, 64): 	hip
NW (130, 28): 	can
NW (130, 29): 	rat
NW (130, 64): 	tag
NW (131, 48): 	way
NW (132, 56): 	vie
NW (133, 23): 	awe
NW (133, 29): 	qua
NW (134, 10): 	all
NW (134, 34): 	hue
NW (134, 46): 	see
NW (134, 55): 	ted
NW (134, 65): 	cow
NW (134, 69): 	bar
NW (134, 69): 	bard
NW (136, 23): 	gem
NW (136, 41): 	ebb
NW (137, 29): 	aim
NW (137, 40): 	iii
NW (137, 54): 	bub
NW (137, 65): 	dab
NW (137, 66): 	tie
NW (14, 17): 	him
NW (14, 27): 	toe
NW (14, 39): 	ace
NW (14, 66): 	tor
NW (15, 19): 	iii
NW (15, 41): 	bid
NW (15, 43): 	poi
NW (16, 11): 	rat
NW (16, 37): 	eye
NW (16, 41): 	yea
NW (16, 58): 	hex
NW (16, 68): 	jut
NW (17, 38): 	hey
NW (17, 42): 	dye
NW (17, 48): 	yap
NW (18, 22): 	vet
NW (18, 8): 	eat
NW (19, 51): 	abc
NW (2, 51): 	woe
NW (2, 64): 	mot
NW (20, 10): 	wee
NW (20, 24): 	wave
NW (20, 35): 	urn
NW (20, 53): 	niece
NW (20, 63): 	nab
NW (20, 65): 	doe
NW (20, 7): 	lax
NW (21, 12): 	ani
NW (21, 3): 	sex
NW (21, 36): 	burn
NW (21, 51): 	amy
NW (21, 7): 	sit
NW (22, 56): 	par
NW (22, 65): 	von
NW (23, 40): 	fib
NW (23, 48): 	atom
NW (24, 19): 	pen
NW (24, 23): 	iii
NW (24, 4): 	yak
NW (24, 53): 	off
NW (24, 6): 	nag
NW (25, 13): 	nod
NW (25, 3): 	pop
NW (26, 11): 	met
NW (26, 67): 	coo
NW (26, 67): 	cook
NW (26, 9): 	inn
NW (27, 25): 	iii
NW (27, 48): 	irk
NW (27, 61): 	hank
NW (28, 16): 	via
NW (28, 26): 	iii
NW (28, 52): 	run
NW (28, 52): 	rune
NW (28, 66): 	cue
NW (28, 68): 	wah
NW (29, 5): 	bid
NW (29, 5): 	bide
NW (29, 57): 	jeep
NW (29, 64): 	lit
NW (3, 25): 	bee
NW (3, 34): 	tar
NW (3, 49): 	pal
NW (30, 21): 	boo
NW (30, 3): 	tao
NW (30, 34): 	hoc
NW (30, 46): 	zip
NW (30, 49): 	buy
NW (31, 15): 	con
NW (31, 15): 	cony
NW (31, 27): 	lag
NW (32, 20): 	ammo
NW (32, 51): 	fib
NW (32, 65): 	ire
NW (33, 46): 	ami
NW (33, 64): 	pea
NW (34, 25): 	loy
NW (34, 52): 	our
NW (34, 55): 	biz
NW (34, 60): 	pie
NW (34, 66): 	jab
NW (35, 42): 	keg
NW (35, 48): 	tea
NW (35, 48): 	team
NW (36, 2): 	jug
NW (37, 12): 	gee
NW (37, 19): 	axe
NW (38, 24): 	apt
NW (38, 41): 	low
NW (38, 7): 	tow
NW (39, 10): 	lee
NW (4, 19): 	tip
NW (4, 39): 	six
NW (4, 50): 	opal
NW (40, 49): 	erg
NW (40, 51): 	gee
NW (40, 52): 	nil
NW (40, 55): 	ale
NW (40, 64): 	mar
NW (41, 52): 	age
NW (41, 54): 	spa
NW (41, 56): 	bale
NW (41, 59): 	add
NW (42, 16): 	ivy
NW (42, 49): 	ash
NW (42, 53): 	gag
NW (42, 53): 	gage
NW (42, 60): 	lad
NW (42, 68): 	are
NW (43, 41): 	oat
NW (43, 42): 	aye
NW (43, 5): 	lip
NW (43, 60): 	sew
NW (43, 62): 	own
NW (43, 69): 	gar
NW (44, 17): 	hue
NW (44, 25): 	aim
NW (44, 27): 	bead
NW (44, 53): 	sod
NW (45, 19): 	dun
NW (46, 31): 	pea
NW (47, 64): 	cab
NW (48, 27): 	age
NW (48, 39): 	bye
NW (48, 46): 	aid
NW (48, 58): 	dud
NW (49, 24): 	rum
NW (49, 26): 	mar
NW (49, 27): 	leg
NW (49, 28): 	sag
NW (49, 28): 	sage
NW (49, 42): 	win
NW (5, 11): 	vee
NW (5, 13): 	coo
NW (5, 22): 	die
NW (5, 38): 	fig
NW (5, 62): 	bed
NW (5, 8): 	imp
NW (50, 32): 	ore
NW (50, 33): 	fuel
NW (50, 63): 	beg
NW (51, 14): 	rig
NW (51, 18): 	hoe
NW (51, 28): 	lim
NW (51, 33): 	tor
NW (51, 33): 	tore
NW (51, 7): 	tic
NW (52, 27): 	toe
NW (52, 50): 	sub
NW (52, 55): 	cue
NW (53, 19): 	jug
NW (53, 27): 	gel
NW (53, 30): 	nil
NW (53, 4): 	ego
NW (53, 47): 	ode
NW (53, 50): 	ore
NW (53, 65): 	apt
NW (54, 15): 	blue
NW (54, 51): 	sore
NW (55, 10): 	nit
NW (55, 39): 	quo
NW (55, 40): 	pit
NW (55, 44): 	ewe
NW (55, 60): 	pea
NW (56, 18): 	ark
NW (56, 58): 	eat
NW (57, 19): 	mar
NW (57, 19): 	mark
NW (57, 66): 	see
NW (58, 2): 	sax
NW (58, 28): 	fib
NW (58, 45): 	vee
NW (58, 48): 	loss
NW (58, 51): 	ivy
NW (58, 59): 	ana
NW (59, 10): 	wag
NW (59, 19): 	hue
NW (59, 31): 	peg
NW (59, 47): 	ale
NW (59, 60): 	van
NW (59, 65): 	hem
NW (6, 18): 	hoc
NW (6, 19): 	for
NW (6, 28): 	lye
NW (6, 3): 	mat
NW (6, 61): 	pat
NW (60, 31): 	hue
NW (60, 53): 	ami
NW (60, 58): 	wit
NW (61, 45): 	lac
NW (62, 14): 	oar
NW (62, 42): 	sow
NW (62, 50): 	foe
NW (62, 55): 	yea
NW (62, 57): 	kin
NW (62, 60): 	bow
NW (63, 13): 	ire
NW (63, 56): 	bye
NW (64, 26): 	cafe
NW (64, 30): 	jig
NW (64, 45): 	pax
NW (64, 55): 	dew
NW (65, 36): 	era
NW (65, 58): 	pub
NW (65, 8): 	aye
NW (66, 21): 	die
NW (66, 46): 	sou
NW (66, 6): 	can
NW (66, 9): 	jay
NW (67, 25): 	sud
NW (67, 40): 	war
NW (67, 58): 	read
NW (68, 33): 	are
NW (69, 16): 	goof
NW (69, 34): 	ear
NW (69, 5): 	bun
NW (69, 52): 	ape
NW (7, 11): 	gum
NW (7, 14): 	silo
NW (7, 26): 	keg
NW (70, 19): 	wag
NW (70, 24): 	one
NW (70, 25): 	mud
NW (70, 27): 	ate
NW (70, 59): 	sou
NW (70, 63): 	soy
NW (70, 7): 	lost
NW (71, 24): 	rub
NW (71, 28): 	tat
NW (71, 28): 	tate
NW (71, 3): 	vis
NW (71, 36): 	eve
NW (71, 55): 	wax
NW (71, 62): 	coy
NW (72, 30): 	car
NW (72, 36): 	ash
NW (72, 59): 	car
NW (72, 9): 	ill
NW (73, 24): 	air
NW (73, 38): 	axe
NW (73, 56): 	jug
NW (74, 41): 	vie
NW (74, 41): 	view
NW (74, 48): 	tab
NW (74, 53): 	awe
NW (74, 59): 	lie
NW (75, 15): 	caw
NW (76, 19): 	tee
NW (76, 39): 	ado
NW (76, 62): 	bee
NW (76, 62): 	beer
NW (76, 68): 	foe
NW (77, 40): 	dad
NW (77, 44): 	sit
NW (77, 67): 	viz
NW (78, 11): 	iii
NW (78, 21): 	act
NW (78, 38): 	ted
NW (78, 43): 	ion
NW (79, 44): 	lion
NW (79, 50): 	top
NW (79, 65): 	sea
NW (8, 14): 	vow
NW (8, 19): 	put
NW (8, 5): 	ohm
NW (8, 58): 	owe
NW (8, 63): 	hop
NW (80, 18): 	tax
NW (80, 19): 	fop
NW (80, 40): 	cot
NW (81, 10): 	cos
NW (81, 16): 	memo
NW (81, 53): 	oil
NW (82, 20): 	kit
NW (82, 41): 	saw
NW (82, 53): 	lent
NW (82, 54): 	roil
NW (83, 20): 	ewe
NW (83, 29): 	ewe
NW (83, 57): 	mat
NW (84, 10): 	cod
NW (84, 36): 	thou
NW (84, 5): 	sen
NW (84, 64): 	lac
NW (85, 13): 	spa
NW (85, 35): 	hay
NW (85, 62): 	oak
NW (86, 29): 	bee
NW (86, 30): 	rev
NW (86, 38): 	act
NW (86, 44): 	ban
NW (87, 17): 	audio
NW (87, 23): 	flu
NW (87, 34): 	far
NW (87, 34): 	faro
NW (87, 55): 	aid
NW (88, 16): 	dim
NW (88, 44): 	oar
NW (89, 14): 	vex
NW (89, 41): 	sly
NW (89, 51): 	sea
NW (9, 11): 	bit
NW (9, 44): 	car
NW (9, 47): 	iii
NW (9, 59): 	mow
NW (9, 61): 	rho
NW (9, 9): 	ice
NW (90, 3): 	are
NW (90, 39): 	jog
NW (90, 64): 	raj
NW (90, 67): 	cat
NW (91, 21): 	ode
NW (91, 49): 	quip
NW (92, 36): 	sax
NW (92, 4): 	who
NW (92, 60): 	dean
NW (92, 8): 	mad
NW (93, 3): 	haw
NW (94, 18): 	rob
NW (94, 40): 	why
NW (94, 5): 	sun
NW (95, 61): 	dug
NW (96, 49): 	mad
NW (96, 54): 	bel
NW (96, 60): 	min
NW (97, 29): 	oar
NW (98, 42): 	axle
NW (98, 60): 	hew
NW (98, 61): 	gem
NW (99, 37): 	viz
NW (99, 68): 	gum
NW (99, 69): 	air
NW (99, 8): 	yet
S (0, 13): 	aim
S (0, 66): 	ice
S (1, 44): 	bar
S (1, 46): 	ova
S (1, 61): 	tin
S (1, 61): 	tine
S (1, 68): 	pin
S (10, 29): 	inn
S (10, 53): 	eel
S (10, 65): 	aim
S (10, 68): 	add
S (100, 23): 	amp
S (101, 37): 	cit
S (101, 64): 	oil
S (101, 67): 	yuh
S (102, 13): 	sod
S (102, 18): 	fur
S (102, 24): 	loft
S (102, 31): 	ore
S (103, 24): 	oft
S (103, 32): 	bull
S (103, 49): 	rut
S (104, 47): 	zag
S (104, 58): 	oat
S (104, 64): 	sou
S (104, 7): 	ego
S (105, 3): 	slab
S (105, 45): 	rue
S (105, 47): 	ago
S (105, 51): 	live
S (105, 53): 	aim
S (105, 59): 	flu
S (106, 3): 	lab
S (107, 43): 	air
S (107, 5): 	aft
S (108, 16): 	hot
S (108, 43): 	ire
S (108, 67): 	spot
S (109, 2): 	cog
S (109, 67): 	pot
S (11, 51): 	psi
S (11, 62): 	pet
S (11, 66): 	ere
S (110, 30): 	ere
S (110, 51): 	him
S (111, 17): 	out
S (111, 19): 	him
S (111, 53): 	axe
S (112, 28): 	ala
S (112, 32): 	chi
S (112, 46): 	wove
S (112, 49): 	roe
S (113, 52): 	rim
S (114, 22): 	hoc
S (114, 36): 	one
S (114, 42): 	gar
S (114, 57): 	vat
S (114, 6): 	sea
S (114, 63): 	sob
S (114, 65): 	etc
S (115, 48): 	pit
S (116, 30): 	gem
S (116, 34): 	bum
S (116, 47): 	tee
S (116, 61): 	dad
S (117, 1): 	coo
S (118, 22): 	doe
S (118, 36): 	ere
S (118, 39): 	pod
S (119, 1): 	oat
S (119, 26): 	ado
S (119, 34): 	yaw
S (119, 52): 	bus
S (119, 55): 	nod
S (119, 56): 	ado
S (12, 26): 	cox
S (12, 27): 	opt
S (12, 62): 	eta
S (12, 65): 	mob
S (12, 66): 	ret
S (12, 69): 	lee
S (120, 56): 	don
S (120, 6): 	kept
S (121, 13): 	men
S (121, 24): 	bee
S (121, 45): 	iii
S (121, 56): 	onto
S (122, 0): 	mat
S (122, 10): 	our
S (122, 66): 	cpu
S (122, 69): 	jot
S (123, 56): 	ton
S (123, 56): 	tony
S (124, 0): 	toy
S (124, 29): 	age
S (124, 32): 	kiva
S (124, 8): 	vet
S (125, 28): 	poi
S (125, 42): 	say
S (125, 49): 	jaw
S (125, 67): 	fum
S (126, 11): 	boy
S (126, 66): 	may
S (127, 37): 	gate
S (127, 66): 	aye
S (127, 67): 	min
S (127, 67): 	mine
S (128, 27): 	tad
S (128, 37): 	ate
S (128, 47): 	ana
S (128, 58): 	auk
S (128, 64): 	pet
S (129, 64): 	etc
S (13, 11): 	ana
S (13, 37): 	juke
S (13, 39): 	dab
S (13, 43): 	alp
S (130, 2): 	gog
S (130, 53): 	kid
S (131, 26): 	old
S (131, 36): 	cox
S (131, 65): 	hoc
S (132, 14): 	raw
S (132, 22): 	wag
S (132, 22): 	wage
S (132, 4): 	owe
S (132, 50): 	ado
S (132, 8): 	lye
S (133, 22): 	age
S (134, 11): 	too
S (134, 16): 	aim
S (134, 23): 	dig
S (134, 26): 	foe
S (134, 64): 	lea
S (134, 66): 	emit
S (135, 25): 	way
S (135, 31): 	jug
S (135, 39): 	via
S (135, 47): 	flu
S (135, 51): 	qua
S (135, 66): 	mitt
S (136, 1): 	sea
S (136, 18): 	zap
S (136, 23): 	gad
S (136, 26): 	ear
S (136, 38): 	hew
S (136, 40): 	din
S (137, 22): 	one
S (137, 24): 	qua
S (137, 32): 	mad
S (137, 38): 	ewe
S (137, 8): 	iii
S (14, 5): 	eve
S (14, 52): 	egg
S (16, 1): 	wet
S (16, 34): 	too
S (17, 35): 	lid
S (17, 40): 	rue
S (17, 54): 	sec
S (17, 60): 	tau
S (18, 2): 	grew
S (18, 42): 	fee
S (18, 45): 	aim
S (18, 50): 	bam
S (18, 62): 	way
S (18, 66): 	ion
S (19, 34): 	rue
S (19, 35): 	dun
S (19, 37): 	ugh
S (19, 6): 	aim
S (2, 10): 	use
S (2, 21): 	wail
S (2, 58): 	wop
S (2, 62): 	tow
S (20, 18): 	five
S (21, 12): 	aid
S (21, 23): 	say
S (21, 3): 	sea
S (21, 4): 	ago
S (22, 32): 	mum
S (22, 33): 	hoy
S (22, 62): 	fee
S (22, 7): 	don
S (23, 1): 	pub
S (23, 19): 	apt
S (23, 47): 	zag
S (24, 17): 	ire
S (24, 33): 	yip
S (24, 40): 	fob
S (24, 44): 	ado
S (24, 46): 	ski
S (24, 46): 	skim
S (24, 67): 	sic
S (25, 21): 	few
S (25, 24): 	pin
S (25, 3): 	pad
S (25, 37): 	quo
S (25, 44): 	doe
S (25, 9): 	pie
S (26, 12): 	buy
S (26, 3): 	ado
S (26, 30): 	aft
S (26, 59): 	sad
S (26, 67): 	cage
S (26, 68): 	mew
S (27, 13): 	fun
S (27, 14): 	owe
S (27, 17): 	coo
S (27, 67): 	age
S (28, 18): 	dim
S (28, 58): 	jig
S (28, 9): 	vale
S (29, 67): 	ere
S (29, 9): 	ale
S (3, 21): 	ail
S (3, 21): 	aile
S (3, 3): 	him
S (3, 33): 	foe
S (3, 47): 	lux
S (3, 50): 	cop
S (3, 52): 	wan
S (3, 63): 	mug
S (30, 34): 	hoi
S (30, 35): 	dab
S (30, 38): 	sap
S (30, 64): 	orb
S (31, 33): 	job
S (31, 57): 	air
S (32, 31): 	bus
S (32, 46): 	tao
S (32, 5): 	boa
S (33, 15): 	you
S (33, 2): 	hen
S (33, 25): 	ala
S (33, 25): 	alan
S (33, 27): 	eke
S (33, 5): 	oaf
S (33, 56): 	sob
S (33, 57): 	roe
S (33, 65): 	axis
S (33, 9): 	raj
S (34, 10): 	wet
S (34, 11): 	use
S (34, 12): 	lac
S (34, 31): 	sib
S (34, 47): 	ebb
S (35, 33): 	hop
S (35, 52): 	elk
S (36, 45): 	toe
S (36, 47): 	bug
S (36, 7): 	hut
S (37, 18): 	yow
S (37, 26): 	her
S (37, 26): 	herb
S (37, 51): 	chi
S (38, 37): 	cos
S (38, 37): 	cost
S (39, 19): 	aim
S (39, 50): 	elk
S (39, 52): 	ana
S (39, 59): 	sea
S (39, 63): 	ani
S (4, 17): 	rot
S (4, 40): 	ray
S (4, 52): 	ana
S (4, 56): 	the
S (4, 60): 	bat
S (40, 24): 	odd
S (40, 52): 	nab
S (40, 55): 	air
S (41, 23): 	ami
S (41, 35): 	tat
S (41, 48): 	sum
S (41, 65): 	woo
S (41, 69): 	hug
S (42, 4): 	iii
S (43, 20): 	keg
S (43, 59): 	hop
S (44, 17): 	hex
S (44, 29): 	awe
S (44, 36): 	don
S (44, 65): 	ohm
S (45, 15): 	arum
S (45, 26): 	hug
S (45, 26): 	huge
S (45, 30): 	eel
S (45, 38): 	may
S (45, 54): 	icy
S (46, 14): 	kin
S (46, 15): 	rum
S (46, 34): 	zig
S (46, 69): 	pin
S (47, 11): 	get
S (47, 26): 	gem
S (47, 33): 	graft
S (47, 4): 	yah
S (48, 0): 	hue
S (48, 11): 	etc
S (48, 29): 	oil
S (48, 33): 	raft
S (48, 46): 	any
S (49, 33): 	aft
S (49, 57): 	pet
S (49, 6): 	iii
S (49, 68): 	bag
S (49, 7): 	yet
S (5, 19): 	oft
S (5, 28): 	ply
S (5, 37): 	bog
S (50, 48): 	bee
S (51, 20): 	rev
S (51, 32): 	iii
S (51, 37): 	quo
S (51, 63): 	tie
S (52, 2): 	exit
S (52, 64): 	pat
S (52, 64): 	pate
S (52, 68): 	irk
S (53, 64): 	ate
S (53, 8): 	too
S (54, 12): 	woe
S (54, 24): 	fur
S (54, 28): 	kit
S (54, 50): 	lac
S (54, 64): 	tea
S (55, 24): 	urn
S (55, 46): 	ask
S (55, 55): 	pad
S (55, 58): 	yen
S (55, 63): 	tum
S (56, 31): 	pea
S (56, 68): 	tie
S (57, 25): 	hazy
S (57, 26): 	zoo
S (57, 38): 	lea
S (57, 5): 	jag
S (57, 61): 	zoo
S (58, 0): 	gog
S (58, 41): 	mop
S (58, 45): 	vii
S (58, 6): 	eft
S (58, 63): 	oaf
S (59, 54): 	ewe
S (59, 62): 	ala
S (59, 62): 	alai
S (6, 1): 	ham
S (6, 13): 	ion
S (6, 50): 	dig
S (6, 54): 	aid
S (60, 13): 	cam
S (60, 32): 	lye
S (60, 41): 	pot
S (60, 46): 	woe
S (60, 6): 	tip
S (61, 12): 	pro
S (61, 13): 	ami
S (61, 13): 	amino
S (61, 14): 	fob
S (61, 66): 	tea
